instance_m2_n60_001, GMS: 1463, LB: 1462, CP: Optimal, 1462, 0.01 seconds, SA: 1462, 0.97 seconds, CP_SA_gap: 0
instance_m2_n60_002, GMS: 1433, LB: 1433, CP: Optimal, 1433, 0.00 seconds, SA: 1433, 1.02 seconds, CP_SA_gap: 0
instance_m2_n60_003, GMS: 1449, LB: 1449, CP: Optimal, 1449, 0.00 seconds, SA: 1449, 0.99 seconds, CP_SA_gap: 0
instance_m2_n60_004, GMS: 1514, LB: 1513, CP: Optimal, 1513, 0.00 seconds, SA: 1513, 1.00 seconds, CP_SA_gap: 0
instance_m2_n60_005, GMS: 1333, LB: 1333, CP: Optimal, 1333, 0.00 seconds, SA: 1333, 1.00 seconds, CP_SA_gap: 0
instance_m2_n60_006, GMS: 1725, LB: 1722, CP: Optimal, 1722, 0.00 seconds, SA: 1722, 1.00 seconds, CP_SA_gap: 0
instance_m2_n60_007, GMS: 1423, LB: 1422, CP: Optimal, 1422, 0.00 seconds, SA: 1422, 0.98 seconds, CP_SA_gap: 0
instance_m2_n60_008, GMS: 1440, LB: 1440, CP: Optimal, 1440, 0.00 seconds, SA: 1440, 0.99 seconds, CP_SA_gap: 0
instance_m2_n60_009, GMS: 1539, LB: 1539, CP: Optimal, 1539, 0.00 seconds, SA: 1539, 1.17 seconds, CP_SA_gap: 0
instance_m2_n60_010, GMS: 1738, LB: 1737, CP: Optimal, 1737, 0.00 seconds, SA: 1737, 1.06 seconds, CP_SA_gap: 0
instance_m2_n60_011, GMS: 1655, LB: 1654, CP: Optimal, 1654, 0.00 seconds, SA: 1654, 0.99 seconds, CP_SA_gap: 0
instance_m2_n60_012, GMS: 1476, LB: 1476, CP: Optimal, 1476, 0.00 seconds, SA: 1476, 1.01 seconds, CP_SA_gap: 0
instance_m2_n60_013, GMS: 1467, LB: 1467, CP: Optimal, 1467, 0.00 seconds, SA: 1467, 0.99 seconds, CP_SA_gap: 0
instance_m2_n60_014, GMS: 1299, LB: 1299, CP: Optimal, 1299, 0.00 seconds, SA: 1299, 1.05 seconds, CP_SA_gap: 0
instance_m2_n60_015, GMS: 1465, LB: 1464, CP: Optimal, 1464, 0.00 seconds, SA: 1464, 1.07 seconds, CP_SA_gap: 0
instance_m2_n60_016, GMS: 1543, LB: 1542, CP: Optimal, 1542, 0.00 seconds, SA: 1542, 1.04 seconds, CP_SA_gap: 0
instance_m2_n60_017, GMS: 1318, LB: 1318, CP: Optimal, 1318, 0.00 seconds, SA: 1318, 1.00 seconds, CP_SA_gap: 0
instance_m2_n60_018, GMS: 1620, LB: 1620, CP: Optimal, 1620, 0.00 seconds, SA: 1620, 1.01 seconds, CP_SA_gap: 0
instance_m2_n60_019, GMS: 1407, LB: 1406, CP: Optimal, 1406, 0.00 seconds, SA: 1406, 0.97 seconds, CP_SA_gap: 0
instance_m2_n60_020, GMS: 1682, LB: 1681, CP: Optimal, 1681, 0.00 seconds, SA: 1681, 1.03 seconds, CP_SA_gap: 0
